Time,ECG,PCG,PPG
7020,439,742,38617
7030,437,804,38620
7040,431,837,38619
7050,434,812,38628
7060,434,797,38589
7070,432,807,38577
7080,438,813,38587
7090,437,837,38591
7100,442,804,38600
7110,445,818,38589
7120,448,815,38609
7130,454,795,38611
7140,453,837,38605
7150,459,800,38619
7160,459,735,38637
7170,459,685,38637
7180,462,719,38641
7190,461,706,38643
7200,463,744,38634
7210,463,736,38624
7220,462,813,38609
7230,465,836,38607
7240,468,817,38610
7250,472,770,38605
7260,472,826,38602
7270,473,873,38609
7280,476,796,38604
7290,472,781,38598
7300,477,826,38616
7310,479,804,38609
7320,477,751,38617
7330,479,845,38606
7340,476,801,38611
7350,481,815,38612
7360,483,790,38599
7370,477,827,38587
7380,475,840,38582
7390,474,819,38594
7400,466,809,38596
7410,461,798,38591
7420,451,777,38608
7430,452,799,38605
7440,447,805,38604
7450,448,767,38610
7460,453,713,38632
7470,453,678,38650
7480,463,726,38645
7490,465,728,38638
7500,472,741,38639
7510,478,732,38624
7520,482,752,38619
7530,485,836,38592
7540,488,822,38612
7550,492,824,38609
7560,490,805,38600
7570,488,843,38603
7580,492,828,38602
7590,489,800,38600
7600,494,803,38616
7610,501,802,38618
7620,505,775,38612
7630,516,786,38609
7640,526,834,38611
7650,530,819,38614
7660,537,831,38591
7670,533,803,38591
7680,542,820,38575
7690,541,811,38584
7700,536,807,38601
7710,537,827,38606
7720,532,829,38599
7730,528,816,38609
7740,516,785,38602
7750,508,772,38617
7760,500,692,38635
7770,488,717,38648
7780,482,702,38645
7790,475,687,38641
7800,461,701,38642
7810,451,733,38627
7820,440,784,38611
7830,435,829,38602
7840,438,826,38613
7850,442,816,38604
7860,457,793,38603
7870,469,800,38603
7880,489,814,38600
7890,516,828,38600
7900,554,808,38616
7910,589,763,38616
7920,606,757,38616
7930,620,781,38615
7940,637,812,38618
7950,649,832,38618
7960,679,816,38597
7970,708,804,38589
7980,723,842,38588
7990,732,828,38592
8000,730,820,38607
8010,729,843,38588
8020,726,811,38598
8030,719,819,38607
8040,722,800,38611
8050,716,787,38612
8060,714,773,38632
8070,706,705,38645
8080,702,679,38655
8090,700,723,38647
8100,686,704,38641
8110,686,721,38641
8120,676,776,38619
8130,665,786,38600
8140,663,801,38609
8150,652,807,38603
8160,645,785,38600
8170,635,838,38602
8180,629,813,38607
8190,624,800,38593
8200,610,816,38603
8210,609,794,38617
8220,604,782,38611
8230,593,825,38618
8240,590,835,38611
8250,582,803,38618
8260,580,796,38599
8270,576,827,38594
8280,563,824,38588
8290,561,813,38588
8300,555,783,38594
8310,546,811,38597
8320,545,813,38599
8330,537,811,38604
8340,536,801,38615
8350,532,810,38598
8360,526,755,38634
8370,528,682,38642
8380,520,699,38650
8390,519,711,38642
8400,508,703,38646
8410,507,732,38643
8420,508,746,38610
8430,498,774,38598
8440,500,814,38602
8450,495,812,38607
8460,490,796,38602
8470,493,798,38601
8480,489,798,38598
8490,491,813,38600
8500,489,806,38593
8510,483,794,38616
8520,488,815,38615
8530,483,799,38618
8540,479,816,38617
8550,482,819,38620
8560,479,798,38614
8570,480,805,38597
8580,475,840,38587
8590,474,813,38584
8600,472,779,38593
8610,465,851,38603
8620,466,833,38596
8630,451,829,38599
8640,436,798,38608
8650,428,823,38596
8660,417,750,38618
8670,413,707,38641
8680,407,677,38651
8690,402,713,38649
8700,399,690,38645
8710,396,719,38636
8720,394,753,38624
8730,385,826,38606
8740,381,788,38597
8750,375,822,38607
8760,360,816,38604
8770,348,801,38601
8780,334,825,38597
8790,327,795,38600
8800,329,803,38600
8810,331,809,38611
8820,338,796,38619
8830,344,724,38607
8840,350,812,38619
8850,361,817,38617
8860,367,818,38619
8870,376,815,38599
8880,387,798,38582
8890,394,827,38591
8900,405,784,38591
8910,419,852,38598
8920,436,818,38597
8930,454,823,38606
8940,471,800,38608
8950,498,794,38605
8960,510,779,38616
8970,522,724,38638
8980,531,713,38638
8990,538,699,38652
9000,540,711,38649
9010,535,699,38636
9020,525,751,38613
9030,502,827,38605
9040,485,817,38605
9050,481,801,38609
9060,469,857,38598
9070,462,793,38606
9080,454,785,38605
9090,440,845,38594
9100,433,789,38601
9110,421,789,38612
9120,406,819,38619
9130,384,748,38618
9140,351,813,38620
9150,332,796,38616
9160,320,801,38613
9170,311,841,38589
9180,315,812,38582
9190,318,803,38586
9200,325,830,38594
9210,331,812,38594
9220,340,803,38591
9230,353,807,38606
9240,358,811,38605
9250,369,788,38600
9260,380,769,38623
9270,391,699,38632
9280,403,697,38645
9290,409,703,38643
9300,422,724,38639
9310,432,735,38638
9320,441,746,38621
9330,451,828,38597
9340,457,811,38608
9350,465,802,38604
9360,472,816,38603
9370,482,833,38603
9380,494,806,38597
9390,496,814,38600
9400,507,812,38607
9410,516,798,38621
9420,522,773,38614
9430,533,796,38612
9440,539,793,38623
9450,552,813,38623
9460,561,794,38605
9470,566,826,38581
9480,576,828,38578
9490,584,808,38580
9500,592,812,38602
9510,602,825,38584
9520,612,849,38592
9530,619,796,38600
9540,623,808,38598
9550,633,783,38620
9560,644,734,38624
9570,643,716,38639
9580,653,734,38649
9590,656,698,38642
9600,660,707,38645
9610,662,751,38642
9620,664,774,38614
9630,664,830,38605
9640,666,815,38607
9650,669,832,38610
9660,669,832,38602
9670,670,805,38608
9680,679,821,38608
9690,678,856,38601
9700,681,811,38602
9710,685,795,38611
9720,681,803,38614
9730,684,827,38626
9740,684,815,38619
9750,683,799,38614
9760,686,822,38607
9770,665,846,38575
9780,640,849,38578
9790,625,812,38592
9800,601,831,38594
9810,594,826,38582
9820,584,816,38592
9830,574,828,38595
9840,567,808,38604
9850,562,803,38605
9860,556,759,38621
9870,545,717,38632
9880,539,743,38643
9890,535,668,38641
9900,523,718,38641
9910,519,707,38635
9920,511,772,38609
9930,503,783,38592
9940,492,816,38605
9950,483,835,38612
9960,474,820,38604
9970,468,793,38600
9980,463,827,38601
9990,456,839,38597
10000,448,825,38596
10010,450,806,38607
10020,443,811,38609
10030,448,786,38620
10040,447,792,38619
10050,447,833,38611
10060,455,844,38612
10070,456,808,38585
10080,463,799,38575
10090,472,814,38591
10100,472,821,38591
10110,480,809,38601
10120,484,843,38592
10130,487,846,38597
10140,493,818,38608
10150,498,791,38606
10160,504,783,38623
10170,505,731,38644
10180,512,721,38641
10190,516,681,38644
10200,520,734,38640
10210,525,740,38642
10220,528,778,38621
10230,530,785,38609
10240,531,839,38601
10250,534,854,38608
10260,538,845,38606
10270,541,837,38605
10280,544,867,38593
10290,547,856,38594
10300,547,829,38587
10310,551,811,38613
10320,549,830,38611
10330,551,744,38605
10340,556,817,38613
10350,556,819,38615
10360,558,845,38620
10370,560,819,38599
10380,555,861,38576
10390,560,800,38588
10400,555,826,38593
10410,557,846,38597
10420,556,813,38600
10430,554,831,38597
10440,558,813,38612
10450,555,787,38598
10460,561,779,38616
10470,558,702,38627
10480,560,712,38641
10490,558,733,38643
10500,556,761,38645
10510,555,690,38634
10520,552,773,38622
10530,548,774,38604
10540,550,831,38604
10550,545,803,38606
10560,546,806,38607
10570,543,794,38604
10580,540,857,38595
10590,543,825,38600
10600,542,829,38595
10610,545,809,38605
10620,544,808,38613
10630,550,802,38614
10640,560,823,38616
10650,568,820,38619
10660,576,807,38616
10670,584,833,38598
10680,591,760,38581
10690,600,859,38587
10700,599,795,38590
10710,597,820,38597
10720,591,830,38588
10730,579,841,38598
10740,570,849,38603
10750,561,819,38596
10760,548,697,38610
10770,547,722,38633
10780,538,715,38641
10790,535,712,38640
10800,526,750,38650
10810,524,731,38638
10820,521,782,38620
10830,521,798,38606
10840,522,832,38601
10850,515,835,38602
10860,509,875,38599
10870,505,852,38600
10880,495,766,38593
10890,494,824,38599
10900,494,834,38587
10910,490,828,38610
10920,491,871,38609
10930,491,792,38602
10940,490,819,38614
10950,489,793,38613
10960,487,868,38612
10970,491,838,38598
10980,486,849,38573
10990,486,809,38580
11000,486,833,38585
11010,484,810,38594
11020,488,848,38589
11030,486,836,38599
11040,485,880,38600
